agent_id,path_length,displacement,tortuosity,mean_speed,max_speed,n_transitions
agent_0000,5916.1357421875,2.880854845046997,2053.604245387581,2.959547758102417,15.039654731750488,693
agent_0001,5941.52978515625,4.507325649261475,1318.1940348178694,2.9722509384155273,14.946915626525879,737
agent_0002,5982.720703125,8.311829566955566,719.783851943989,2.992856740951538,14.891936302185059,725
agent_0003,5840.45458984375,10.977323532104492,532.0472310240831,2.9216880798339844,15.2572660446167,718
agent_0004,5806.13818359375,10.459134101867676,555.1260865851054,2.9045214653015137,15.001595497131348,703
agent_0005,5786.474609375,11.51442813873291,502.5412064892372,2.8946845531463623,14.789146423339844,683
agent_0006,5838.43505859375,1.8099223375320435,3225.793137250891,2.920677900314331,14.727021217346191,668
agent_0007,5863.9169921875,13.009598731994629,450.73772931332434,2.933425188064575,15.341434478759766,718
agent_0008,5925.92236328125,2.2041633129119873,2688.513290226131,2.9644434452056885,14.834242820739746,697
agent_0009,5875.357421875,8.783230781555176,668.9289587544879,2.939148187637329,15.208130836486816,716
agent_0010,5840.6376953125,7.105777263641357,821.9562023672985,2.9217796325683594,15.222887992858887,688
agent_0011,5930.35546875,2.717963457107544,2181.911405416455,2.966660976409912,15.15339469909668,725
agent_0012,5830.0048828125,7.4673261642456055,780.7352663857756,2.9164607524871826,14.937421798706055,708
agent_0013,5935.2734375,1.981645107269287,2995.124309964714,2.969121217727661,15.248772621154785,713
agent_0014,5779.080078125,4.630782127380371,1247.9706274037662,2.8909854888916016,15.621162414550781,702
agent_0015,5908.84423828125,11.558490753173828,511.21243802072837,2.955899953842163,15.03663444519043,770
agent_0016,5866.8935546875,7.235086441040039,810.8947421273992,2.9349143505096436,14.95879077911377,704
agent_0017,5962.5068359375,2.4720346927642822,2411.9834770029515,2.9827446937561035,15.064255714416504,713
agent_0018,5708.53759765625,8.69970417022705,656.1760590131754,2.855696678161621,14.933655738830566,672
agent_0019,5943.5087890625,9.459210395812988,628.3303298830308,2.973241090774536,14.63106632232666,708
