agent_id,timestep,from_state,to_state,emb_x,emb_y
agent_0000,1,stable,exploratory,6.559662818908691,11.524134635925293
agent_0000,2,exploratory,adaptive,3.7618355751037598,10.799745559692383
agent_0000,4,adaptive,stable,0.90129154920578,8.094269752502441
agent_0000,6,stable,exploratory,7.544633388519287,11.38118839263916
agent_0000,7,exploratory,adaptive,6.0437541007995605,11.484353065490723
agent_0000,11,adaptive,stable,1.014591097831726,9.316548347473145
agent_0000,15,stable,exploratory,4.780806064605713,11.341145515441895
agent_0000,23,exploratory,unstable,10.863045692443848,1.457567572593689
agent_0000,25,unstable,stable,11.050291061401367,3.657477378845215
agent_0000,33,stable,adaptive,-0.1346418410539627,7.129230499267578
agent_0000,36,adaptive,stable,1.0892771482467651,8.775553703308105
agent_0000,39,stable,exploratory,5.479269504547119,9.674957275390625
agent_0000,41,exploratory,adaptive,4.707543849945068,10.361004829406738
agent_0000,42,adaptive,stable,1.4092755317687988,8.392350196838379
agent_0000,48,stable,exploratory,3.0342679023742676,10.972896575927734
agent_0000,51,exploratory,adaptive,7.966145038604736,10.877988815307617
agent_0000,52,adaptive,exploratory,8.875839233398438,9.442383766174316
agent_0000,54,exploratory,unstable,12.859980583190918,0.8543897271156311
agent_0000,55,unstable,stable,12.207921028137207,3.097257614135742
agent_0000,56,stable,adaptive,11.177159309387207,6.415489673614502
agent_0000,57,adaptive,stable,9.31965160369873,9.348624229431152
agent_0000,58,stable,exploratory,9.239872932434082,9.227151870727539
agent_0000,59,exploratory,adaptive,7.61577033996582,11.414705276489258
agent_0000,61,adaptive,stable,2.668386936187744,10.660774230957031
agent_0000,64,stable,adaptive,0.27548205852508545,6.639281749725342
agent_0000,67,adaptive,exploratory,5.357518672943115,9.620660781860352
agent_0000,68,exploratory,adaptive,3.9191484451293945,9.378189086914062
agent_0000,71,adaptive,stable,1.1875816583633423,7.959036350250244
agent_0000,72,stable,exploratory,7.625651836395264,11.775002479553223
agent_0000,73,exploratory,unstable,11.124223709106445,3.231764078140259
agent_0000,74,unstable,stable,10.657214164733887,5.437657356262207
agent_0000,76,stable,exploratory,10.396833419799805,8.956402778625488
agent_0000,78,exploratory,adaptive,5.82343864440918,11.507014274597168
agent_0000,80,adaptive,unstable,11.46026611328125,1.268923044204712
agent_0000,89,unstable,adaptive,11.346102714538574,4.782462120056152
agent_0000,91,adaptive,stable,8.23293399810791,9.787078857421875
agent_0000,95,stable,unstable,11.84473705291748,4.340452671051025
agent_0000,100,unstable,stable,11.387869834899902,5.247926712036133
agent_0000,108,stable,adaptive,0.6651013493537903,6.8201069831848145
agent_0000,110,adaptive,exploratory,8.988845825195312,9.138174057006836
agent_0000,111,exploratory,adaptive,6.315697193145752,10.471010208129883
agent_0000,112,adaptive,unstable,11.06157398223877,1.8187161684036255
agent_0000,117,unstable,stable,11.712076187133789,4.297982215881348
agent_0000,120,stable,exploratory,8.863685607910156,9.12103271484375
agent_0000,121,exploratory,adaptive,6.8141961097717285,9.606938362121582
agent_0000,123,adaptive,stable,1.8605269193649292,8.166919708251953
agent_0000,124,stable,exploratory,8.728089332580566,11.392126083374023
agent_0000,125,exploratory,stable,4.79180383682251,11.63215160369873
agent_0000,134,stable,unstable,11.76877212524414,-0.17590810358524323
agent_0000,137,unstable,stable,11.747840881347656,4.040515899658203
agent_0000,138,stable,adaptive,10.22956657409668,7.667892932891846
agent_0000,141,adaptive,stable,2.002883195877075,10.250826835632324
agent_0000,149,stable,adaptive,-0.5546987056732178,4.965421676635742
agent_0000,150,adaptive,stable,-1.1448229551315308,3.946798801422119
agent_0000,151,stable,exploratory,5.028224468231201,9.112910270690918
agent_0000,154,exploratory,unstable,10.615610122680664,1.1749423742294312
agent_0000,155,unstable,stable,10.8780517578125,2.880373001098633
agent_0000,156,stable,exploratory,10.518153190612793,6.215889930725098
agent_0000,157,exploratory,unstable,11.55423355102539,-0.07884049415588379
agent_0000,163,unstable,adaptive,10.982231140136719,4.190783500671387
agent_0000,164,adaptive,stable,10.466405868530273,6.787240028381348
agent_0000,166,stable,unstable,11.89009952545166,3.9534413814544678
agent_0000,169,unstable,adaptive,10.406208992004395,6.497563362121582
agent_0000,170,adaptive,stable,8.581782341003418,8.31759262084961
agent_0000,171,stable,adaptive,6.2992939949035645,9.274139404296875
agent_0000,172,adaptive,stable,2.9444544315338135,9.050429344177246
agent_0000,174,stable,adaptive,1.4721002578735352,9.81313705444336
agent_0000,176,adaptive,unstable,11.096240997314453,2.16024112701416
agent_0000,181,unstable,adaptive,10.759446144104004,4.73427152633667
agent_0000,183,adaptive,stable,7.451564311981201,8.747749328613281
agent_0000,186,stable,exploratory,6.0077738761901855,10.907021522521973
agent_0000,188,exploratory,adaptive,4.027359485626221,10.348834991455078
agent_0000,191,adaptive,unstable,10.533956527709961,0.11834143102169037
agent_0000,193,unstable,stable,10.328451156616211,3.028198480606079
agent_0000,196,stable,unstable,11.524822235107422,0.3553207218647003
agent_0000,199,unstable,stable,10.716760635375977,4.434505939483643
agent_0000,210,stable,exploratory,4.448185443878174,11.884921073913574
agent_0000,218,exploratory,unstable,11.172835350036621,1.075819492340088
agent_0000,219,unstable,stable,10.954148292541504,4.26983118057251
agent_0000,229,stable,adaptive,-0.3671479821205139,7.10420560836792
agent_0000,230,adaptive,stable,-0.9673197865486145,5.104251384735107
agent_0000,233,stable,exploratory,6.505671977996826,10.69666576385498
agent_0000,234,exploratory,adaptive,3.6890456676483154,10.07164192199707
agent_0000,238,adaptive,unstable,11.077345848083496,2.7050552368164062
agent_0000,249,unstable,exploratory,11.962224006652832,4.7858171463012695
agent_0000,250,exploratory,adaptive,10.56872844696045,8.115364074707031
