threshold,precision,recall,f1,fpr,tpr
0.016528104983787803,0.23694999999999408,0.9999999999998944,0.3831197700932625,0.9999999999999672,0.9999999999998944
0.018009850052369908,0.23695592389809156,0.9999999999998944,0.38312751348453866,0.9999672367472315,0.9999999999998944
0.019491595120952013,0.23695592389809156,0.9999999999998944,0.38312751348453866,0.9999672367472315,0.9999999999998944
0.020973340189534118,0.2369677725829378,0.9999999999998944,0.3831430012061579,0.99990171024176,0.9999999999998944
0.022455085258116222,0.23699147350785796,0.9999999999998944,0.38317398040619666,0.9997706572308172,0.9999999999998944
0.023936830326698327,0.23700925231307235,0.9999999999998944,0.3831972180940239,0.9996723674726099,0.9999999999998944
0.025418575395280432,0.237015179174267,0.9999999999998944,0.38320496461631487,0.9996396042198742,0.9999999999998944
0.026900320463862537,0.2370566755039709,0.9999999999998944,0.3832591990431817,0.9994102614507241,0.9999999999998944
0.028382065532444642,0.23712191338719982,0.9999999999998944,0.3833444555941793,0.999049865670631,0.9999999999998944
0.029863810601026747,0.23718718718718126,0.9999999999998944,0.38342975008449737,0.998689469890538,0.9999999999998944
0.03134555566960885,0.2373356704644989,0.9999999999998944,0.38362374242970915,0.9978703885721447,0.9999999999998944
0.032827300738190957,0.23744269358919165,0.9999999999998944,0.38376353850957673,0.9972806500229016,0.9999999999998944
0.03430904580677306,0.2376212801163227,0.9999999999998944,0.38399675852694726,0.9962977524408296,0.9999999999998944
0.035790790875355166,0.23783593887229337,0.9999999999998944,0.38427699699335904,0.9951182753423434,0.9999999999998944
0.03727253594393727,0.23815865517500723,0.9999999999998944,0.3846981224695971,0.993349059694614,0.9999999999998944
0.038754281012519376,0.2384942502704955,0.9999999999998944,0.3851358212213484,0.9915143175414131,0.9999999999998944
0.04023602608110148,0.23884884834433148,0.9999999999998944,0.38559804688156885,0.9895812856300049,0.9999999999998944
0.041717771149683586,0.2393373904699316,0.9999999999998944,0.3862344380428281,0.9869274621584108,0.9999999999998944
0.04319951621826569,0.23991899759523505,0.9999999999998944,0.3869914048692634,0.9837821898957806,0.9999999999998944
0.044681261286847795,0.24069277261414393,0.9999999999998944,0.38799737974293147,0.9796212567983429,0.9999999999998944
0.0461630063554299,0.24141619969433925,0.9999999999998944,0.3889367636080587,0.9757551929755266,0.9999999999998944
0.047644751424012005,0.2423049391553267,0.9999999999998944,0.39008931112360556,0.9710372845815815,0.9999999999998944
0.04912649649259412,0.2433813522327442,0.9999999999998944,0.3914830339058196,0.9653692418583001,0.9999999999998944
0.05060824156117622,0.24456830262681933,0.9999999999998944,0.3930170837777457,0.959176987091247,0.9999999999998944
0.05208998662975833,0.2459135488557873,0.9999999999998944,0.3947521862720673,0.9522311775112721,0.9999999999998944
0.05357173169834043,0.2474932107791872,0.9999999999998944,0.3967848617407781,0.9441714173382824,0.9999999999998944
0.055053476766922536,0.2491063919259817,0.9999999999998944,0.39885536306071523,0.9360461306598212,0.9999999999998944
0.05653522183550464,0.25086019797786646,0.9999999999998944,0.40110029591292484,0.9273311054321169,0.9999999999998944
0.058016966904086746,0.2528005974607849,0.9999999999998944,0.4035767507955779,0.917829762138755,0.9999999999998944
0.05949871197266885,0.2550729318047189,0.9999999999998944,0.4064671066321229,0.906886835725021,0.9999999999998944
0.060980457041250956,0.2574004671120456,0.9999999999998944,0.4094168463266443,0.8958783828058156,0.9999999999998944
0.06246220210983306,0.26010593045911634,0.9999999999998944,0.41283184844297305,0.8833300570080308,0.9999999999998944
0.06394394717841517,0.2629199145607295,0.9999999999998944,0.41636830858588325,0.870552388441096,0.9999999999998944
0.06542569224699726,0.266011787819246,0.9999999999998944,0.4202358780044816,0.8568245855448248,0.9999999999998944
0.06690743731557938,0.26929196499601465,0.9999999999998944,0.4243183951529937,0.8426053338575178,0.9999999999998944
0.06838918238416147,0.2730258419521111,0.9998944925088626,0.42893027642872605,0.8267479195334242,0.9998944925088626
0.06987092745274359,0.27704855731282263,0.9998944925088626,0.433878905463108,0.810235240154616,0.9998944925088626
0.07135267252132568,0.28132514026181377,0.9998944925088626,0.4391057566362888,0.7931983487320361,0.9998944925088626
0.0728344175899078,0.2856583072100228,0.9998944925088626,0.44436629589851506,0.7764563265840778,0.9998944925088626
0.07431616265848989,0.29018034844911694,0.9998944925088626,0.4498184489951095,0.7595177249197052,0.9998944925088626
0.07579790772707201,0.29545454545453625,0.9998944925088626,0.4561293734746772,0.7404167485747742,0.9998944925088626
0.0772796527956541,0.30080629801281505,0.9997889850178308,0.46246949696015827,0.7216434047572007,0.9997889850178308
0.07876139786423622,0.3062998997963504,0.9997889850178308,0.46893480107605,0.7031321669615129,0.9997889850178308
0.08024314293281833,0.311526070090068,0.9997889850178308,0.4750350908749344,0.6861280387916687,0.9997889850178308
0.08172488800140043,0.3174858444734708,0.9997889850178308,0.4819326124758235,0.6674202214795666,0.9997889850178308
0.08320663306998254,0.3233908948194552,0.9997889850178308,0.48870551793903944,0.6495642487385935,0.9997889850178308
0.08468837813856464,0.32956521739129285,0.9996834775267989,0.4957099504484366,0.631511696481206,0.9996834775267989
0.08617012320714675,0.335838355193182,0.999577970035767,0.5027594986682805,0.6138523032566472,0.999577970035767
0.08765186827572885,0.3420587067191269,0.999577970035767,0.5096973768897358,0.5970447546032175,0.999577970035767
0.08913361334431096,0.3489648567007902,0.9994724625447352,0.5173110524778458,0.5790249655985656,0.9994724625447352
0.09061535841289306,0.35558225091972534,0.9993669550537033,0.524532062964271,0.5624139964615503,0.9993669550537033
0.09209710348147516,0.3628874669527429,0.9992614475626714,0.5324226322088136,0.5447873664897273,0.9992614475626714
0.09357884855005727,0.3700765864332459,0.9992614475626714,0.5401197600845725,0.5281763973527118,0.9992614475626714
0.09506059361863937,0.3773908192540493,0.9992614475626714,0.547868339973374,0.5119258239957896,0.9992614475626714
0.09654233868722148,0.3849374085514394,0.9992614475626714,0.5557772427179871,0.4958063036498101,0.9992614475626714
0.09802408375580358,0.39180802647909013,0.9991559400716397,0.5628863524245844,0.4816198152152388,0.9991559400716397
0.09950582882438569,0.3999746557404579,0.9990504325806078,0.571247586464234,0.4654020051110522,0.9990504325806078
0.1009875738929678,0.4078397587766355,0.9989449250895759,0.5792065575670131,0.4503964353580876,0.9989449250895759
0.1024693189615499,0.4157041851477574,0.9987339101075122,0.5870569625915224,0.4359150776488947,0.9987339101075122
0.103951064030132,0.42338150418323905,0.9984173876344167,0.5946149733478119,0.42225280125809506,0.9984173876344167
0.10543280909871411,0.43024789629290744,0.9979953576702892,0.6012776908353671,0.4103925037677606,0.9979953576702892
0.10691455416729621,0.43775751122631185,0.9976788351971937,0.6085137870209367,0.39790970447544727,0.9976788351971937
0.10839629923587832,0.44613859516614207,0.9971512977420345,0.6164633744342279,0.3844112443483263,0.9971512977420345
0.10987804430446042,0.45379442843417606,0.9968347752689389,0.6236715290439196,0.3725837101107276,0.9968347752689389
0.11135978937304253,0.46206525461035747,0.9966237602868752,0.6313960090587675,0.3602974903348286,0.9966237602868752
0.11284153444162463,0.4702834653514437,0.9959907153406841,0.6388954684146915,0.3483716663390227,0.9959907153406841
0.11432327951020674,0.47777665282978243,0.9957797003586204,0.645730705637277,0.33798571522179616,0.9957797003586204
0.11580502457878884,0.48495757264075673,0.9949356404303655,0.6520762018896563,0.32812397614834127,0.9949356404303655
0.11728676964737095,0.4923470720367501,0.9944081029752063,0.6586073158631796,0.3183932900858293,0.9944081029752063
0.11876851471595305,0.5001327598109234,0.9936695505379833,0.6653714362001214,0.3084004980014315,0.9936695505379833
0.12025025978453516,0.5077412742083127,0.9930365055917922,0.6719257536125586,0.2989646812135411,0.9930365055917922
0.12173200485311726,0.5158264304130498,0.9920869381725055,0.6787454429395857,0.2891684686455577,0.9920869381725055
0.12321374992169937,0.524245298811421,0.9912428782442507,0.6857914517902106,0.2793394928248385,0.9912428782442507
0.12469549499028147,0.5310059975104373,0.9901878033339322,0.6912934585908818,0.27157460192647037,0.9901878033339322
0.12617724005886358,0.538686886093369,0.9894492508967092,0.6975861936149376,0.2631216827206519,0.9894492508967092
0.12765898512744567,0.5463929550358344,0.9884996834774226,0.7037746474287537,0.25483257977851204,0.9884996834774226
0.1291407301960278,0.5536168450937153,0.9875501160581359,0.7094940302388455,0.2472642683965583,0.9875501160581359
0.1306224752646099,0.5606305820295774,0.9868115636209129,0.7150338285199431,0.24015464255290478,0.9868115636209129
0.132104220333192,0.5680505744331306,0.9859675036926581,0.7208145315273119,0.23281567394010114,0.9859675036926581
0.1335859654017741,0.575604341391183,0.9848069212913078,0.7265509452804169,0.2254767053272975,0.9848069212913078
0.1350677104703562,0.5819226684989329,0.9829077864527344,0.731039352928623,0.21928445056024443,0.9829077864527344
0.13654945553893832,0.589618456078046,0.9815361890693203,0.7366962301297229,0.21214206146385517,0.9815361890693203
0.13803120060752042,0.5967255216693036,0.9805866216500336,0.741947071736475,0.20578599043312346,0.9805866216500336
0.1395129456761025,0.6037846273897384,0.979637054230747,0.7471033146230583,0.19962649891880613,0.979637054230747
0.14099469074468463,0.6111696522655025,0.9791095167755878,0.7525748109775197,0.19343424415175306,0.9791095167755878
0.14247643581326674,0.6178254783014053,0.9778434268832055,0.7572204742179843,0.18783172793394312,0.9778434268832055
0.14395818088184886,0.6248059923071311,0.9768938594639188,0.7621517054960286,0.18216368521066176,0.9768938594639188
0.14543992595043093,0.6317084843097948,0.9748892171343136,0.7666459236048909,0.17649564248738037,0.9748892171343136
0.14692167101901304,0.6383199557154278,0.9733066047688359,0.7709987458650396,0.1712535220496635,0.9733066047688359
0.14840341608759516,0.6452222611130105,0.972462544840581,0.7757438029122228,0.16604416486468232,0.972462544840581
0.14988516115617728,0.6519736375876514,0.9706689174930395,0.7800245872507912,0.16090033418517263,0.9706689174930395
0.15136690622475935,0.6579022782633144,0.9688752901454981,0.7836661541521004,0.15644453181311327,0.9688752901454981
0.15284865129334146,0.6635047067342025,0.966765140324861,0.7869288899328984,0.15225083546293977,0.966765140324861
0.15433039636192358,0.6710178938104524,0.965393542941447,0.7917279565983996,0.14697595177248715,0.965393542941447
0.1558121414305057,0.6778667853433705,0.9642329605400966,0.7960801388879589,0.1422908066312777,0.9642329605400966
0.15729388649908776,0.6855639097743845,0.9620173032284277,0.8005970668596913,0.13701592294082507,0.9620173032284277
0.15877563156766988,0.6924305819702782,0.9603291833719181,0.8046678154525962,0.13246183081055854,0.9603291833719181
0.160257376636252,0.6975564776394115,0.9577970035871536,0.8072203445238455,0.12895616276783536,0.9577970035871536
0.16173912170483412,0.7046338050069425,0.9562143912216758,0.8113697398874071,0.12446759714304029,0.9562143912216758
0.16322086677341618,0.7109626719056416,0.9545262713651662,0.8149349182152994,0.12050324356201689,0.9545262713651662
0.1647026118419983,0.7170111287757777,0.9516775691073062,0.8178438656808179,0.11663717973920068,0.9516775691073062
0.16618435691058042,0.7236419157826484,0.9500949567418284,0.8215491282382084,0.1126728261581773,0.9500949567418284
0.16766610197916254,0.7304347826086363,0.9483013293942869,0.8252306839870676,0.10867570932441817,0.9483013293942869
0.1691478470477446,0.7374784110534799,0.946085672082618,0.828857974273048,0.10458030273245185,0.946085672082618
0.17062959211632672,0.743950103950042,0.9438700147709491,0.8320699432357196,0.1008780551733143,0.9438700147709491
0.17211133718490884,0.7507775069344582,0.9423929098965032,0.8357426895648049,0.09714304436144101,0.9423929098965032
0.17359308225349096,0.755890828953996,0.9409158050220573,0.8383154723391056,0.09435816787890393,0.9409158050220573
0.17507482732207302,0.7605200136845056,0.9381726102552291,0.8400566834921629,0.09173710766004549,0.9381726102552291
0.17655657239065514,0.7666609116021438,0.9370120278538787,0.8433197222283071,0.08855907214467962,0.9370120278538787
0.17803831745923726,0.7722634103793482,0.9341633255960187,0.8455331131939582,0.0855448528929924,0.9341633255960187
0.17952006252781938,0.7781500749492304,0.931103608356095,0.8477832743970488,0.08243234388309802,0.931103608356095
0.18100180759640144,0.7824308704542737,0.9284659210802987,0.8492159223021131,0.08017167944433261,0.9284659210802987
0.18248355266498356,0.78914254898429,0.9263557712596616,0.852261696261027,0.07686259091802382,0.9263557712596616
0.18396529773356568,0.7939816912896951,0.9242456214390247,0.8541758076057596,0.07447087346831549,0.9242456214390247
0.1854470428021478,0.7992140376530068,0.9226630090735468,0.8565132218335341,0.07198086626039997,0.9226630090735468
0.18692878787072986,0.8041493775932869,0.9201308292887824,0.8582394326567317,0.06958914881069164,0.9201308292887824
0.18841053293931198,0.8100652376513691,0.9170711120488587,0.8602533645057929,0.06677150907541882,0.9170711120488587
0.1898922780078941,0.8140255351107009,0.9148554547371898,0.8615002478871093,0.06490400366948218,0.9148554547371898
0.19137402307647622,0.8181732134405283,0.9120067524793297,0.8625455266180836,0.06293820850533835,0.9120067524793297
0.19285576814505828,0.8218955807959509,0.9085250052752787,0.8630418436505026,0.061136229604873166,0.9085250052752787
0.1943375132136404,0.8254181888097649,0.9058873179994823,0.8637826956780555,0.05949806696808664,0.9058873179994823
0.19581925828222252,0.8295542635658111,0.903249630723686,0.8648348313020089,0.057630561562150004,0.903249630723686
0.19730100335080464,0.8338380384877567,0.9006119434478898,0.8659396393687739,0.055730292903477634,0.9006119434478898
0.1987827484193867,0.8369896704376943,0.8976577336989979,0.86626279031659,0.05428870978310549,0.8976577336989979
0.20026449348796882,0.8410556602836748,0.8943870014770104,0.866901876066319,0.05248673088264031,0.8943870014770104
0.20174623855655094,0.8452154784520702,0.8918548216922461,0.8679090297379632,0.05071751523491086,0.8918548216922461
0.20322798362513306,0.8493399173636149,0.8892171344164497,0.8688211942839474,0.04898106283991714,0.8892171344164497
0.20470972869371512,0.8528068216423862,0.8863684321585897,0.8692638000071063,0.04750671646680927,0.8863684321585897
0.20619147376229724,0.8566898527004033,0.8836252373917616,0.8699491009854349,0.04590131708275847,0.8836252373917616
0.20767321883087936,0.8603380746237002,0.8806710276428696,0.8703858180609784,0.044394207456914865,0.8806710276428696
0.20915496389946148,0.8639385126712854,0.8776113104029459,0.8707212389011748,0.04291986108380699,0.8776113104029459
0.2106367089680436,0.8675655900490364,0.8757121755643726,0.8716198472289821,0.04151104121617058,0.8757121755643726
0.21211845403662566,0.8704619593811563,0.8727579658154808,0.8716084500557278,0.04033156411768428,0.8727579658154808
