subset,n_configs,mean_ari_full,mean_accuracy_full,mean_ari_diag,mean_accuracy_diag,pct_bic_recovers_k4_diag,pct_bic_recovers_k4_full,pct_state_collapse,pct_fallback,pct_diag_fit_failed
Full grid,160,0.345124036802992,0.6545173375,0.33796046338043545,0.6421833749999999,0.0,0.0,0.0,0.0,0.0
Reliable subset,160,0.345124036802992,0.6545173375,0.33796046338043545,0.6421833749999999,0.0,0.0,0.0,0.0,0.0
