N,T,seed,total_obs,cov_type_used,min_covar_used,n_restarts_succeeded,n_restarts_attempted,converged,n_iter_full,tried_fallback,ll_per_obs_full,max_condition_number,min_eigenvalue,state_collapse,reliable,sufficiency_warning,ari_full,accuracy_full,unstable_recall_full,diag_fit_failed,ari_diag,accuracy_diag,ll_per_obs_diag,diag_bic_failed,bic_opt_k_diag,bic_opt_k_full
5,500,42,2500,full,0.01,30,30,True,52,False,-1.2947373718575412,38.24941807902828,0.0012416446446036843,False,True,False,0.3078976338339796,0.6264,0.9999999999999979,False,0.3157063778195663,0.6176,-1.8927708867555653,False,7.0,7
5,500,43,2500,full,0.01,30,30,True,72,False,-1.09878145269139,38.97623382601451,0.001153288797571241,False,True,False,0.3258587241787383,0.6424,0.9999999999999979,False,0.33195825519596933,0.6288,-1.7380725239016748,False,8.0,6
5,500,44,2500,full,0.001,30,30,True,100,False,-1.0293110719263612,39.21354561328416,0.001182184001084659,False,True,False,0.31875069225579766,0.6404,0.9999999999999978,False,0.33255414557125956,0.6308,-1.6754340875454148,False,8.0,8
5,500,45,2500,full,0.001,30,30,True,58,False,-0.9730674114435376,41.10572453031416,0.0011185096626776165,False,True,False,0.3513880536126891,0.6656,0.9999999999999979,False,0.3507788485861197,0.6524,-1.6107431758913044,False,8.0,7
5,500,46,2500,full,0.001,30,30,True,87,False,-0.9980325049127019,42.41594283845606,0.0012996334399863047,False,True,False,0.3381152508362273,0.6668,0.9999999999999979,False,0.3476234386205269,0.6636,-1.6438285673659327,True,,6
5,500,47,2500,full,0.01,30,30,True,71,False,-0.9331267455098279,49.20049295718232,0.0011197697220097626,False,True,False,0.3389977742948083,0.674,0.9999999999999978,False,0.3342897231135167,0.6576,-1.5963679200340621,False,8.0,6
5,500,48,2500,full,0.0001,30,30,True,87,False,-0.8639893316744864,49.05073510197201,0.0010866314645232656,False,True,False,0.3415973785745997,0.6736,0.9999999999999978,False,0.33745354971161473,0.6584,-1.557992213157578,False,8.0,6
5,500,49,2500,full,0.0001,30,30,True,203,False,-1.009734575224146,52.05603750629822,0.0010120225240528567,False,True,False,0.3244722672081232,0.6592,0.9999999999999979,False,0.3239478290429614,0.6452,-1.6914774971666997,False,7.0,6
5,500,50,2500,full,0.01,30,30,True,90,False,-1.0977684892893615,52.83333045188901,0.0009215878718376183,False,True,False,0.3354854039927976,0.6568,0.999999999999998,False,0.3348940426637254,0.6428,-1.7704080506013586,False,7.0,6
5,500,51,2500,full,0.0001,30,30,True,112,False,-1.2445478346969574,51.19159372714652,0.0010235606064046769,False,True,False,0.3482880566691315,0.6524,0.9999999999999981,False,0.34349728960636833,0.6472,-1.8579670513549078,False,7.0,6
