episode,mah_mean,mah_smooth
0,3.037579292789679,3.0459720400681594
1,3.0388475192895013,3.0503039364741658
2,3.0674377785595413,3.0549459241159442
3,3.0735945587478355,3.059315322403832
4,3.072234464037732,3.066478042626676
5,3.0747151939239075,3.0797489335613895
6,3.0725344790927815,3.0913675052552865
7,3.0948810545724292,3.0952524337669383
8,3.1437464202673877,3.0983879000334538
9,3.131796092840678,3.1075759771480804
10,3.0985172066527564,3.1119532762910547
11,3.0986782888799604,3.113234197041525
12,3.1457390809547494,3.113582175714099
13,3.1097335870676943,3.108229873438218
14,3.0827818450965436,3.103110249800048
15,3.097664883953022,3.098605666099838
16,3.1009280020603396,3.0870136197440443
17,3.0908391037353153,3.069421725314278
18,3.062480537051076,3.055750831683028
19,3.005941918033614,3.0459274741299325
20,3.0050039255166223,3.0302677564398257
21,3.000366438017691,3.015104976232423
22,3.004194984671778,3.0048608307424747
23,2.972387142432168,2.998427110667767
24,2.9796257604011203,2.9943753620728173
25,3.0088859398157277,2.9869657135044854
26,3.011010776453415,2.982393940032327
27,2.973527929274018,2.979804397419993
28,2.945726736969965,2.9844662675555416
29,2.9637922502404273,2.991670041619081
30,2.983478643773104,2.9942692538668507
31,3.0096821035165524,3.001851695086091
32,3.0372559529094376,3.0149979180283633
33,3.0296796377978863,3.030815117139392
34,3.0716703062073396,3.048683897881931
35,3.0786977128121955,3.061374947006193
36,3.07226432985819,3.0736795043654506
37,3.106742496180742,3.089719276374062
38,3.085007036767199,3.1021525234003993
39,3.1081185623906165,3.11747210170071
40,3.1655741289783275,3.1278893664311007
41,3.1291456140085856,3.1402603646401372
42,3.1942269326098214,3.1488190466012926
43,3.1620358306553236,3.1567044649662424
44,3.1712323155304816,3.162037135613626
45,3.1752119518699855,3.1546842681434852
46,3.1480903836868004,3.158565070364098
47,3.150779927569682,3.1597519734771407
48,3.106751189217202,3.162639503101537
49,3.1601920317734864,3.1600583176489634
50,3.2037221575141657,3.1554831935066434
51,3.1851360676504923,3.147157551885933
52,3.150582831909894,3.1362310646439093
53,3.1386109587314226,3.1387169791427803
54,3.0814852507211192,3.1301416518428473
55,3.063368029633491,3.1219295011260866
56,3.126638505208171,3.1161205765666984
57,3.091589413374025,3.1155328608646458
58,3.13802495178008,3.1129754850021216
59,3.138664671175388,3.1164673167619754
60,3.1458811062934697,3.130241533257073
61,3.1181519518312295,3.140885026064031
62,3.10941990479995,3.152689765687173
63,3.1735617615942706,3.1544252675798483
64,3.2117864476638323,3.1598344835625625
65,3.1860273303591624,3.1631738208000875
66,3.151908966921482,3.166258258537985
67,3.181938399037101,3.1697777403454923
68,3.17259580419367,3.168585738514898
69,3.142827453734408,3.162521130657322
70,3.1375757592600113,3.157918531693355
71,3.1640257469495174,3.1564434510788972
72,3.1632695848032295,3.151829405931522
73,3.1492065386474244,3.149452585545119
74,3.14010832200582,3.1523514946610587
75,3.1450260378580945,3.1458041224587667
76,3.1535812411024478,3.1315473687957494
77,3.1660187266619246,3.1197634446274636
78,3.0851967816416757,3.107743842859631
79,3.0499717176453816,3.090954128223933
80,3.0689981914569424,3.0719662392813833
81,3.0530497245047616,3.0530047095679533
82,3.0057906049202345,3.033852864838495
83,2.993122926317701,3.0262933971227333
84,3.001889003395008,3.0229046331565144
85,3.0128039688262587,3.0198611314873585
86,3.024721039915579,3.0185370265825084
87,3.0228616059156286,3.0228723184496236
88,3.0446501781036934,3.0268570864709794
89,3.042456885265964,3.037283511966913
90,3.0404729398571577,3.044803180752862
91,3.0250010704885453,3.0564344581290297
92,3.085300407362476,3.0674688964331844
93,3.0729613191138556,3.073857309523188
94,3.1177712589249174,3.0828217240451425
95,3.111137112348863,3.099697725354664
96,3.095757482823721,3.1102131620622036
97,3.1141722014416024,3.1095431876707575
98,3.17548095033333,3.1100038291160734
99,3.1091245641488623,3.1101607865698084
100,3.0799406122309056,3.1072413459371813
101,3.0766464506763853,3.1064019470341164
102,3.1190269185547987,3.1090384380948204
103,3.0877815872878456,3.100101390111545
104,3.0890422915992,3.0950664535063934
105,3.1352641299272372,3.0946151131430577
106,3.1039845664671266,3.094784170870093
107,3.06884507130765,3.0878819425680923
108,3.07632988932422,3.0873251347078847
109,3.077998912492667,3.086461119617126
110,3.0638090921387953,3.0799988156959626
111,3.0833271244061806,3.072480500051404
112,3.0821301708731292,3.0749965951043743
113,3.083565698557934,3.072882971143747
114,3.043838041310656,3.0672682294384215
115,3.088973831731413,3.063388278742119
116,3.0594208976392023,3.056679929358449
117,3.0330809788500632,3.0501211991664103
118,3.0327694865683714,3.043383028013771
119,3.02966032933682,3.0416108140170413
