episode,mean_reward,std_reward,mean_unstable,std_unstable,mean_mah,std_mah
0,344.77000000000004,35.960916284210555,0.1512424849699399,0.028029439081492007,3.047759007737269,0.25030081767361717
1,344.725,32.38749758780385,0.15135270541082166,0.024919700679621334,3.051472597850692,0.22090390691012265
2,344.77000000000004,39.34577486846586,0.15144288577154308,0.02958526067904745,3.054968116481002,0.2512043316334457
3,345.01,38.43514017146288,0.151563126252505,0.028403765038776792,3.060698292659277,0.24035936881597836
4,344.39500000000004,36.04247494276718,0.1524048096192385,0.02715319936504885,3.071315005407048,0.22431795358152268
5,343.6600000000001,37.35451779905611,0.15315631262525053,0.02732441229992174,3.080736685412148,0.23546348246070342
6,343.6,36.42128498556853,0.15344689378757514,0.02549425874755792,3.0868304767984553,0.22046440360485567
7,343.47999999999996,32.09404150305785,0.15372745490981965,0.022296559323907072,3.092813553757501,0.18859910408688166
8,342.94,38.966524094406985,0.15432865731462925,0.027170941965800274,3.100643683997022,0.2283432100211229
9,342.65500000000003,40.25034161345715,0.1544488977955912,0.028361492901844337,3.1042575868290077,0.2285136140304719
10,342.595,40.488609509342254,0.15442885771543086,0.028548499210316065,3.105312324934889,0.22996614903633178
11,342.46000000000004,47.357259211233924,0.15450901803607214,0.03511806059003977,3.1076072939378,0.29792534561166384
12,342.49,45.7920298742041,0.15447895791583163,0.03214840502580228,3.110446646234556,0.24337109543194482
13,342.415,46.71025048102398,0.1543587174348697,0.034572913737661595,3.1100424511508447,0.30669019579891543
14,343.705,44.903897380962384,0.1530961923847695,0.03278421755147082,3.1019158628292134,0.27265191162177704
15,345.98499999999996,46.43002799913005,0.1512625250501002,0.033943542059336494,3.089330445348507,0.2791868678309325
16,347.395,46.184412955021955,0.14997995991983967,0.03322954096525372,3.0799791172348936,0.2666936357728831
17,349.09,40.10473787471999,0.14860721442885771,0.028186606058647378,3.0701479321486667,0.2446874429153513
18,351.265,35.45842636102172,0.14688376753507013,0.026101964003677917,3.05599352252037,0.24055218850362195
19,352.9599999999999,41.55730982631094,0.1454108216432866,0.029736906316135667,3.0422588780568174,0.27367442914086204
20,354.09999999999997,42.5627477966355,0.14437875751503007,0.031107988636364336,3.031943269587275,0.2867100807521201
21,355.33,43.32767591274658,0.14335671342685372,0.031824631615797454,3.0230653751735455,0.29017789919386294
22,355.99,41.63709283799722,0.1426653306613227,0.030963545170953805,3.0140736526128533,0.2876792717505161
23,357.02500000000003,37.37499163879505,0.14162324649298597,0.028857019586355614,3.002342535166724,0.27900435188628736
24,357.835,37.15158139299052,0.14074148296593186,0.02764877504024109,2.9906671551586124,0.2566825832571046
25,358.075,41.121618402003584,0.14034068136272546,0.032567442495374355,2.9864521883792943,0.30777527409795713
26,358.04499999999996,42.70761056298982,0.14020040080160323,0.03340146957915938,2.984299660204942,0.29670063524884893
27,357.52,39.44600740252427,0.1405110220440882,0.030083324377414882,2.985231226754828,0.27190907213285387
28,356.9050000000001,32.98772498975945,0.14084168336673347,0.026963218512440015,2.9885373235785937,0.2585696378160282
29,356.09499999999997,32.32630507806298,0.1414529058116233,0.0258577224976177,2.9942665731151656,0.25609521191611895
30,355.04499999999996,36.43826971742759,0.142374749498998,0.02972761999617503,3.0034710276957877,0.2841788292917079
31,353.81499999999994,34.57166469813104,0.1433366733466934,0.02889856688771925,3.0104522049954343,0.2887889575949969
32,353.2300000000001,33.913271738362255,0.14387775551102205,0.027699566691839844,3.0165775603359117,0.25661483969934645
33,351.61000000000007,38.64531019412317,0.14519038076152307,0.02982186811546711,3.0298990170265845,0.2661891500835429
34,350.08000000000004,51.64968538142318,0.14650300601202404,0.04163275407298875,3.043827047006308,0.3885792713278762
35,347.96500000000003,45.252044152723094,0.14818637274549099,0.036319570044650036,3.0582596782213263,0.3436717622758865
