regime,initial_mean,initial_std,final_mean,final_std,delta_mean,delta_std
stable,0.4583967935871744,0.010765347521478525,0.4568637274549098,0.05090203536942487,-0.0015330661322645156,0.054887115349083956
exploratory,0.2546993987975952,0.006438910812514511,0.2587875751503006,0.022529121487860976,0.004088176352705428,0.02327544669150479
adaptive,0.2591983967935872,0.007809308371923988,0.26190380761523047,0.028935259597850295,0.002705410821643296,0.03330052950570575
unstable,0.027705410821643288,0.00258577224976177,0.022444889779559118,0.0024535802706153386,-0.005260521042084168,0.0028852670177979935
