episode,total_reward,unstable_frac,mean_mah,epsilon,n_steps,frac_stable,frac_exploratory,frac_adaptive,frac_unstable,agent_id
0,472.0,0.028056112224448898,1.8759392626350222,1.0,499,0.5150300601202404,0.21442885771543085,0.24248496993987975,0.028056112224448898,agent_0000
1,481.0,0.022044088176352707,1.7463248309009982,0.97,499,0.47695390781563124,0.23246492985971945,0.2685370741482966,0.022044088176352707,agent_0000
2,472.0,0.03406813627254509,1.955230566315653,0.9409,499,0.4168336673346693,0.2625250501002004,0.2865731462925852,0.03406813627254509,agent_0000
3,484.0,0.02404809619238477,1.8262203953483747,0.912673,499,0.47695390781563124,0.27655310621242485,0.22244488977955912,0.02404809619238477,agent_0000
4,493.0,0.012024048096192385,1.7322944426538744,0.8852928099999999,499,0.5150300601202404,0.24849699398797595,0.22444889779559118,0.012024048096192385,agent_0000
5,454.0,0.03807615230460922,1.9428149909324148,0.8587340256999999,499,0.4028056112224449,0.29458917835671344,0.26452905811623245,0.03807615230460922,agent_0000
6,484.0,0.018036072144288578,1.7524241615524698,0.8329720049289999,499,0.45691382765531063,0.24649298597194388,0.2785571142284569,0.018036072144288578,agent_0000
7,490.0,0.012024048096192385,1.7186742899721361,0.8079828447811299,499,0.46092184368737477,0.23446893787575152,0.2925851703406814,0.012024048096192385,agent_0000
8,478.0,0.026052104208416832,1.7529987622793266,0.783743359437696,499,0.4749498997995992,0.24649298597194388,0.25250501002004005,0.026052104208416832,agent_0000
9,472.0,0.03206412825651302,1.8995658805519162,0.7602310586545651,499,0.4348697394789579,0.30861723446893785,0.22444889779559118,0.03206412825651302,agent_0000
10,457.0,0.04008016032064128,1.9877458116301112,0.7374241268949281,499,0.43687374749499,0.2905811623246493,0.23246492985971945,0.04008016032064128,agent_0000
11,463.0,0.03206412825651302,1.8619920710934634,0.7153014030880802,499,0.43887775551102204,0.24649298597194388,0.28256513026052105,0.03206412825651302,agent_0000
12,490.0,0.012024048096192385,1.709850419881319,0.6938423609954378,499,0.49298597194388777,0.23246492985971945,0.2625250501002004,0.012024048096192385,agent_0000
13,469.0,0.036072144288577156,2.0143580630041225,0.6730270901655747,499,0.45490981963927857,0.218436873747495,0.2905811623246493,0.036072144288577156,agent_0000
14,493.0,0.01002004008016032,1.63500557231574,0.6528362774606075,499,0.501002004008016,0.24248496993987975,0.24649298597194388,0.01002004008016032,agent_0000
15,445.0,0.04609218436873747,1.9498775333493306,0.6332511891367892,499,0.40480961923847697,0.23446893787575152,0.31462925851703405,0.04609218436873747,agent_0000
16,487.0,0.014028056112224449,1.7529460421734837,0.6142536534626856,499,0.45691382765531063,0.24248496993987975,0.2865731462925852,0.014028056112224449,agent_0000
17,466.0,0.03206412825651302,1.7980040027878312,0.595826043858805,499,0.4228456913827655,0.23446893787575152,0.3106212424849699,0.03206412825651302,agent_0000
18,451.0,0.04408817635270541,2.023060144689137,0.5779512625430409,499,0.41282565130260523,0.28857715430861725,0.2545090180360721,0.04408817635270541,agent_0000
19,484.0,0.02004008016032064,1.8100446724651098,0.5606127246667496,499,0.47695390781563124,0.2865731462925852,0.21643286573146292,0.02004008016032064,agent_0000
20,430.0,0.05811623246492986,2.1191320329744743,0.5437943429267471,499,0.3867735470941884,0.28256513026052105,0.2725450901803607,0.05811623246492986,agent_0000
21,472.0,0.03406813627254509,1.95025792342605,0.5274805126389447,499,0.48096192384769537,0.24048096192384769,0.24448897795591182,0.03406813627254509,agent_0000
