agent,convergence_episode,converged,final_unstable_frac,initial_unstable_frac,reduction
agent_0000,120,False,0.14789579158316632,0.13567134268537073,-0.012224448897795587
agent_0001,120,False,0.14809619238476954,0.13907815631262527,-0.00901803607214427
agent_0002,120,False,0.1406813627254509,0.14328657314629256,0.0026052104208416638
agent_0003,120,False,0.13567134268537076,0.14729458917835672,0.011623246492985961
agent_0004,120,False,0.13226452905811625,0.15470941883767536,0.022444889779559107
agent_0005,120,False,0.12665330661322644,0.14188376753507015,0.015230460921843714
agent_0006,120,False,0.1284569138276553,0.14629258517034066,0.01783567134268535
agent_0007,120,False,0.1414829659318637,0.15791583166332665,0.016432865731462937
agent_0008,120,False,0.13046092184368738,0.16573146292585167,0.03527054108216429
agent_0009,120,False,0.1314629258517034,0.16152304609218435,0.030060120240480936
agent_0010,120,False,0.14328657314629256,0.16773547094188376,0.0244488977955912
agent_0011,120,False,0.14589178356713425,0.16492985971943888,0.019038076152304628
agent_0012,120,False,0.15150300601202404,0.1597194388777555,0.008216432865731454
agent_0013,120,False,0.15511022044088177,0.1591182364729459,0.004008016032064132
agent_0014,120,False,0.15370741482965933,0.15210420841683364,-0.0016032064128256862
agent_0015,120,False,0.1623246492985972,0.15711422845691386,-0.0052104208416833275
agent_0016,120,False,0.1683366733466934,0.1537074148296593,-0.014629258517034088
agent_0017,120,False,0.1529058116232465,0.1478957915831663,-0.005010020040080221
agent_0018,120,False,0.15310621242484973,0.1565130260521042,0.003406813627254479
agent_0019,120,False,0.15430861723446893,0.15090180360721442,-0.003406813627254507
