agent_idx,phase,n_steps,mean_dist_unstable_centroid,mean_dist_stable_centroid
0,early,19500,10.629404067993164,4.90134334564209
0,mid,20500,10.566514015197754,5.005412578582764
0,late,20000,10.735989570617676,4.9381937980651855
1,early,19500,10.62668228149414,4.87457799911499
1,mid,20500,10.651103973388672,4.891937732696533
1,late,20000,10.603487968444824,5.007925987243652
2,early,19500,10.619305610656738,4.906439781188965
2,mid,20500,10.533519744873047,5.037549018859863
2,late,20000,10.77100658416748,4.860671043395996
